ID;PSC 2020;PSC 2019;PSC 2018;PSC 2017
1609;9;;9;
1610;10;;;
1611;10;;10;2
1612;9;;;
1613;;;;
1614;10;10;10;10
1615;;;10;
1616;9;;;
1617;10;10;10;10
1618;9;;;
1619;;;;
1620;8;;;
1621;7;;;10
1622;10;10;9;
1623;10;10;10;
1624;;;;
1625;10;8;;
1626;10;;;10
1627;10;10;10;8
1628;10;10;10;9
1629;10;;;
1630;10;10;10;
1631;10;;;
1632;10;;;10
1633;10;10;10;10
1634;10;;;
1635;10;10;10;10
1636;10;10;;10
1637;10;;;
1638;10;;;
1639;10;10;;
1640;10;8;10;10
1641;;;;8
1642;10;10;10;10
1643;;;;
1644;;;10;9
1645;8;;;
1646;8;8;;9
1647;10;10;;8
1648;10;;;
1649;10;10;10;
1650;10;10;10;9
1651;10;10;;
1652;10;10;10;10
1653;;;;
1654;;;9;10
1655;10;;10;10
1656;8;9;10;10
1657;10;10;;10
1658;;;;
1659;8;9;;
1660;8;;;
1661;;9;10;
1662;;;;9
1663;;10;;
1664;10;10;10;8
1665;;10;;
1666;;;9;
1667;10;10;10;10
1668;7;;9;
1669;;;;
1670;10;;;
1671;10;;9;
1672;10;;;
1673;10;10;8;10
1674;10;10;;
1675;;;;
1676;8;8;;
1677;10;10;10;10
1678;10;;10;10
1679;10;;10;
1680;10;10;10;9
1681;10;8;;
1682;10;;10;
1683;8;9;10;10
1684;10;10;10;10
1685;10;8;;
1686;9;10;;
1687;10;10;;
1688;10;10;;9
1689;9;6;5;7
1690;8;;8;
1691;10;;;
1692;;;;10
1693;10;10;10;10
1694;;9;9;
1695;10;10;10;10
1696;8;9;;9
1697;;10;;
1698;10;;;
1699;7;;9;
1700;10;;;
1701;10;10;9;10
1702;10;;;
1703;;8;;10
1704;8;;;
1705;9;;8;9
1706;10;;10;
1707;10;7;;
1708;10;10;10;10
1709;10;;;
1710;;;;10
1711;8;10;6;10
1712;;;;
1713;10;;;
1714;8;;;
1715;8;;9;
1716;;;;
1717;6;6;5;6
1718;;;;
1719;10;;;10
1720;;;;
1721;8;;10;
1722;10;;;
1723;10;;10;10
1724;10;;;
1725;;;;
1726;10;10;10;10
1727;9;;10;8
1728;10;10;10;10
1729;10;10;10;9
1730;9;;;
1731;10;10;;
1732;10;10;10;
1733;;10;;
1734;10;;;10
1735;10;;10;
1736;10;;;
1737;10;9;10;
1738;10;10;;10
1739;10;10;;
1740;;;;
1741;8;;;
1742;9;9;9;
1743;9;10;10;9
1744;7;10;;10
1745;9;;;
1746;;;;
1747;10;10;9;
1748;9;;;
1749;;;;8
1750;10;10;9;10
1751;;;9;
1752;8;9;10;10
1753;10;10;10;10
1754;10;;9;
1755;;9;;8
1756;8;;;
1757;10;;;
1758;;9;;
1759;5;7;;7
1760;10;;;
1761;9;;9;
1762;;;10;
1763;;;10;10
1764;10;;;
1765;9;9;9;8
1766;8;;;
1767;;;;
1768;10;;;
1769;10;10;;
1770;8;;;9
1771;10;;9;
1772;2;8;;
1773;10;;;
1774;10;;;10
1775;;;;
1776;10;;;
1777;10;;;
1778;10;;;
1779;9;;;
1780;;;;
1781;;;;
1782;10;;;
1783;5;;;10
1784;;;;
1785;9;10;10;10
1786;9;;7;
1787;10;10;;
1788;9;8;9;
1789;10;;;
1790;10;10;9;9
1791;8;10;10;
1792;;;;
1793;10;8;9;10
1794;9;9;9;9
1795;8;7;;
1796;7;10;10;8
1797;10;10;10;
1798;7;6;;
1799;10;;;
1800;8;8;7;
1801;10;;;
1802;;;;
1803;8;;9;
1804;10;;;10
1805;10;;;
1806;10;;;
1807;9;;;
1808;9;;;
1809;;;;
1810;10;;;10
1811;8;;;
1812;10;9;8;
1813;;;;
1814;9;;;
1815;;;;
1816;10;;;
1817;9;;;8
1818;;;;
1819;;;;10
1820;;;;
1821;10;;;
1822;;;;
1823;;;;
1824;10;;;
1825;10;9;10;9
1826;9;;;
1827;10;10;10;10
1828;10;;9;
1829;;10;10;
1830;8;;;
1831;8;;;
1832;10;10;10;
1833;10;10;;
1834;;;;
1835;;;;
1836;9;8;;
1837;10;8;;
1838;8;;;
1839;;;;
1840;8;8;;
1841;9;10;9;10
1842;9;;;8
1843;;10;10;10
1844;8;;7;
1845;10;;10;
1846;;;;
1847;8;10;;
1848;9;10;;
1849;;;;
1850;9;;;
1851;10;;;
1852;10;8;;
1853;;;;10
1854;;10;10;10
1855;;;;
1856;8;9;;
1857;10;;;
1858;10;;;
1859;9;10;8;10
1860;7;10;10;
1861;10;;;
1862;;;;
1863;;10;;8
1864;10;;;
1865;7;;;
1866;9;;;
1867;9;;;10
1868;10;;10;
1869;;;;
1870;;;;
1871;9;;8;8
1872;;10;10;
1873;9;10;10;9
1874;;9;10;9
1875;10;10;10;10
1876;10;;;
1877;10;;10;
1878;10;8;;
1879;10;;;10
1880;10;;;
1881;;;;
1882;;10;10;10
1883;10;10;10;10
1884;10;10;;
1885;9;8;10;
1886;10;10;10;
1887;10;10;;
1888;10;;;
1889;;;;
1890;10;10;;
1891;;10;;
1892;;8;;
1893;10;10;;
1894;10;;;
1895;;;;
1896;9;;;
1897;;;;
1898;10;9;9;9
1899;;;;
1900;10;9;10;9
1901;6;10;10;
1902;;10;;
1903;7;;;
1904;;;;
1905;10;;10;
1906;9;9;10;8
1907;10;;6;
1908;10;9;9;
1909;;8;;
1910;9;;10;
1911;9;8;10;10
1912;10;;;
1913;;;10;
1914;;10;10;
1915;9;10;8;
1916;7;8;;
1917;10;;;
1918;;;;
1919;;;;
1920;10;;;
1921;10;;;
1922;8;;;
1923;;10;9;
1924;10;;;
1925;;;;
1926;9;;9;9
1927;8;9;9;
1928;8;9;9;
1929;9;;;
1930;9;;10;
1931;8;10;10;
1932;;;;
1933;8;9;9;9
1934;10;;10;
1935;10;;10;
1936;10;;;
1937;10;9;;
1938;10;;;
1939;10;;;10
1940;;;;
1941;10;;10;
1942;10;10;;
1943;;;;
1944;10;10;;7
1945;10;;;
1946;9;;9;
1947;10;10;10;
1948;10;8;;
1949;9;10;10;
1950;9;;;
1951;10;10;;
1952;9;10;8;8
1953;;7;;
1954;10;;10;
1955;;;9;
1956;10;;;
1957;;;;10
1958;;;;10
1959;;10;;
1960;9;;;
1961;10;9;9;10
1962;8;;;
1963;6;;;1
1964;10;10;;
1965;8;9;7;
1966;9;10;8;8
1967;10;8;10;8
1968;7;9;;
1969;10;9;9;8
1970;9;;;
1971;9;10;;
1972;10;;;
1973;;10;;8
1974;8;;;
1975;10;;;
1976;;10;;
1977;10;;10;
1978;10;;;
1979;10;;;
1980;10;10;10;
1981;10;10;10;10
1982;10;;;
1983;10;;;
1984;10;;;
1985;9;10;;
1986;10;;;
1987;;;;
1988;10;10;10;9
1989;8;;9;
1990;10;;;
1991;10;;;
1992;10;10;10;10
1993;9;8;;
1994;10;;8;
1995;6;;;10
1996;10;;;
1997;;;;
1998;9;;;
1999;10;10;8;7
2000;10;;10;
2001;10;10;10;10
2002;10;5;9;8
2003;;;8;9
2004;10;;10;10
2005;10;10;10;9
2006;10;10;10;
2007;10;;10;10
2008;8;10;;9
2009;;;10;10
2010;10;;;10
2011;10;9;;
2012;7;;;
2013;;;;
2014;10;10;10;10
2015;10;10;;
2016;;;;
2017;9;10;10;10
2018;;10;10;10
2019;10;10;10;9
2020;;10;;
2021;10;10;;9
2022;9;;;
2023;;10;8;
2024;10;10;9;10
2025;;;;
2026;8;8;;
2027;10;;10;8
2028;8;;10;
2029;10;;;
2030;10;;;
2031;10;10;10;10
2032;8;9;;
2033;10;;8;
2034;10;8;10;
2035;8;;10;
2036;10;10;9;9
2037;10;;;
2038;10;9;10;
2039;;9;10;9
2040;;10;;10
2041;9;;;10
2042;7;;;
2043;10;;;
2044;10;10;10;10
2045;10;10;10;
2046;10;10;;
2047;10;;;
2048;;;;
2049;10;;;
2050;7;;;
2051;9;;;
2052;;;;
2053;10;;;10
2054;;;10;
2055;;;;
2056;;;;
2057;;;9;
2058;10;9;10;
2059;;;;
2060;8;;;
2061;10;10;;10
2062;10;10;10;
2063;8;8;10;10
2064;10;;;
2065;10;;;
2066;;;;
2067;;;;
2068;10;10;10;10
2069;;;;10
2070;;;9;10
2071;10;;;
2072;9;10;9;
2073;;10;;10
2074;10;9;10;10
2075;10;10;8;10
2076;10;;10;
2077;10;6;10;
2078;6;10;;
2079;10;;;
2080;10;9;;
2081;10;;;10
2082;;;8;
2083;10;;10;10
2084;;10;;
2085;8;;;
2086;;;9;8
2087;;10;9;8
2088;;10;10;8
2089;8;;9;
2090;;;9;10
2091;10;;;
2092;9;;;
2093;10;;;
2094;10;;;
2095;10;10;9;10
2096;10;10;10;
2097;;;8;8
2098;9;;;
2099;;;;
2100;10;10;;
2101;10;10;;
2102;10;;;
2103;10;;;
2104;;;;
2105;9;;10;
2106;;;;
2107;9;9;;
2108;10;;10;
2109;9;;;
2110;10;;;10
2111;10;;10;10
2112;10;;9;
2113;9;;10;
2114;10;10;;7
2115;10;10;9;9
2116;9;10;9;
2117;;;;
2118;;;10;10
2119;10;;;
2120;8;;10;8
2121;;;;
2122;10;;;
2123;10;;;
2124;7;;;
2125;10;;;
2126;10;10;;
2127;10;;;
2128;;;;
2129;9;;;
2130;;10;9;
2131;10;10;10;10
2132;10;10;10;10
2133;;;9;
2134;;10;9;8
2135;8;9;;
2136;10;;;
2137;10;;;8
2138;;;;
2139;9;10;;9
2140;;;;
2141;9;10;9;
2142;10;10;10;10
2143;10;10;;
2144;10;10;10;
2145;9;;;
2146;10;10;10;10
2147;10;;;9
2148;;;;
2149;9;10;7;9
2150;10;;;
2151;9;;10;
2152;10;9;;
2153;7;;;10
2154;9;8;9;6
2155;9;;;
2156;;;;
2157;10;9;10;9
2158;10;;;
2159;8;10;;
2160;10;;10;7
2161;7;;10;10
2162;9;9;9;
2163;;;;
2164;;;;
2165;10;10;9;
2166;7;10;;
2167;9;;10;
2168;10;10;;
2169;10;10;;
2170;;;;7
2171;10;;;
2172;;;;
2173;9;8;;10
2174;9;;9;10
2175;10;10;10;10
2176;10;10;;
2177;;10;;
2178;;;;
2179;10;10;;
2180;10;10;10;10
2181;8;10;8;10
2182;9;10;10;7
2183;9;9;10;8
2184;;;10;
2185;10;;;
2186;10;;10;
2187;;;;
2188;;;10;
2189;8;9;9;
2190;;;9;
2191;10;10;10;8
2192;5;;;9
2193;7;;;
2194;10;;;
2195;8;;;
2196;10;;;
2197;10;;10;
2198;10;;;
2199;10;;10;
2200;10;9;7;10
2201;8;8;4;8
2202;10;9;6;8
2203;9;;;10
2204;10;8;9;10
2205;10;10;10;10
2206;8;10;10;10
2207;;;;10
2208;10;10;10;10
2209;9;8;;9
2210;7;;10;
2211;;;;
2212;;;10;6
2213;;10;;
2214;8;9;;10
2215;7;;;
2216;10;;;
2217;10;10;;8
2218;10;10;10;10
2219;10;;;
2220;10;;;
2221;;;;
2222;;;10;
2223;8;;;
2224;10;10;;
2225;;;;
2226;;9;;
2227;;;;
2228;8;8;;3
2229;;;10;
2230;5;8;7;9
2231;10;;9;10
2232;;;;
2233;10;10;10;10
2234;9;9;8;7
2235;8;7;9;10
2236;10;10;;10
2237;;;;
2238;8;;9;
2239;;;;
2240;9;;;10
2241;8;;;
2242;10;9;9;10
2243;10;10;10;10
2244;10;;;
2245;9;;;
2246;9;;;
2247;10;;;
2248;10;;5;
2249;10;10;10;10
2250;9;;10;
2251;10;;;
2252;8;;8;9
2253;;;10;
2254;;;;
2255;;10;;
2256;10;;10;
2257;10;;9;
2258;;10;8;6
2259;9;;;
2260;;;;
2261;;;;
2262;;;;
2263;9;;;
2264;;10;9;10
2265;10;10;9;
2266;;;;
2267;10;;;
2268;9;9;;
2269;;;10;8
2270;10;;;
2271;9;;8;
2272;10;;;
2273;10;10;10;10
2274;10;;9;
2275;10;;;10
2276;10;;;
2277;9;9;9;9
2278;10;;9;
2279;10;;;
2280;10;;;
2281;;;;
2282;10;;10;
2283;10;;;
2284;;10;10;
2285;10;10;;10
2286;10;;;
2287;;;;
2288;8;;;
2289;10;;;
2290;10;;;
2291;;;;
2292;10;10;10;10
2293;10;;9;
2294;;;;
2295;10;;;
2296;9;;;
2297;8;;;
2298;9;;;
2299;;9;;
2300;;;;
2301;;;;
2302;8;;;
2303;8;;;
2304;;10;;
2305;10;;;
2306;;10;;
2307;;;;
2308;9;;;
2309;10;;;
2310;7;;;
2311;10;9;;9
2312;10;;;
2313;8;;;
2314;10;10;10;10
2315;10;;10;
2316;10;;;10
2317;;10;;10
2318;10;10;10;10
2319;;9;;10
2320;;;;10
2321;10;;10;
2322;10;;;
2323;10;;;
2324;10;;10;10
2325;;;10;
2326;10;;;
2327;9;;;
2328;10;;10;
2329;;;;
2330;9;;;
2331;10;;10;
2332;9;;;
2333;;;;
2334;10;;;
2335;;5;5;
2336;10;9;;
2337;6;;;
2338;9;9;9;7
2339;8;;;
2340;8;;;
2341;10;10;;
2342;;;;
2343;10;;9;
2344;10;;;
2345;;;;
2346;10;9;8;
2347;10;;;8
2348;10;9;10;9
2349;9;9;9;9
2350;10;;;
2351;10;;;
2352;10;10;10;
2353;10;10;9;
2354;;;;
2355;10;;7;
2356;9;;;8
2357;10;;;
2358;6;;7;
2359;9;;;
2360;10;;10;10
2361;;;;
2362;;;;
2363;10;10;10;10
2364;;;10;
2365;8;;;
2366;10;;10;10
2367;9;;;
2368;10;;10;
2369;10;9;;
2370;8;;;
2371;10;9;;
2372;10;;;
2373;10;10;10;10
2374;10;;3;
2375;9;;;
2376;10;;10;
2377;10;;10;
2378;;;;
2379;10;10;10;10
2380;9;10;;9
2381;10;;;
2382;7;10;9;
2383;;;;
2384;10;;;
2385;9;10;9;9
2386;10;10;10;
2387;10;;;
2389;10;9;8;
2388;5;;;
