ID;CodigoPrograma;GradoMinimo;GradoMaximo;Estado;NoAnual;Dias;Transporte;TipoPago;Precio;Seguro;SeguroCancelado;PorcentajeSeguro;PagoCancelado;Chaperones;LineaPobreza;Region;SegmentoCRM;TipoEscuela;ReunionPadres;MenorGradoEscuela;MayorGrado Escuela;TotalAlumnosEscuela;NivelIngresos;PagoFacil;ApoyoOficial;TipoPrograma;NuevoExistente;ParticipantesPago;TotalIngreso;Reuniones;DiasPrimeraReunion;DiasUltimaReunion;TipoGradoMinimo;TipoGradoMaximo;MesPartida;CodigoAgregacionPrograma;MismoGrado;ParticipantesEstudiantado;RatioPago;Tamano;Retenidos2020
703;HS;4;4;CA;0;2;A;NA;574;16;1;0.615;2;1;;Southern California;5;Catholic;1;PK;8;300;J;0.269;0;CA History;NEW;26;574;2;318;204;Elementary;Elementary;April;H;1;0.086666667;0.962962963;S;0
704;HD;8;8;ME;0;3;A;NA;1202;5;0;0.714;1;1;B;Other;10;PUBLIC;1;6;8;357;K;0.143;0;East Coast;EXISTING;7;1202;2;345;220;Middle;Middle;April;H;1;0.019607843;0.875;S-M;1
705;HD;7;8;IL;1;3;A;NA;1294;12;3;0.923;3;2;B;Other;10;PUBLIC;1;PK;8;375;K;0.308;0;East Coast;NEW;13;1294;2;372;219;Middle;Middle;April;H;0;0.034666667;0.866666667;S-M;0
706;HD;8;8;IN;1;3;A;NA;1117;44;4;0.815;7;3;B;Other;10;PUBLIC;1;6;8;214;G;0.241;0;East Coast;EXISTING;54;1117;1;218;218;Middle;Middle;April;H;1;0.252336449;0.947368421;S;0
707;HD;6;8;IA;1;4;A;FR;1265;32;1;0.582;4;4;B;Other;8;PUBLIC;1;9;12;120;J;0.146;1;East Coast;EXISTING;55;1265;1;219;219;Middle;Middle;April;H;0;0.458333333;0.93220339;S;0
708;HD;8;8;CA;0;4;A;NA;1945;24;15;0.667;7;4;B;Southern California;5;PUBLIC;1;6;8;1027;O;0.389;0;East Coast;EXISTING;36;1945;1;198;198;Middle;Middle;April;H;1;0.035053554;0.9;L;1
709;HN;8;8;CA;0;5;A;NA;2199;7;7;0.368;7;2;A;Northern California;5;PUBLIC;1;6;8;625;P;0.263;0;East Coast;EXISTING;19;2199;1;213;213;Middle;Middle;April;H;1;0.0304;0.904761905;M-L;1
710;HD;8;8;CA;0;5;A;NA;2072;33;7;0.559;9;4;B;Southern California;5;PUBLIC;1;6;8;834;M;0.237;0;East Coast;EXISTING;59;2072;1;178;178;Middle;Middle;April;H;1;0.070743405;0.936507937;L;1
711;HD;8;8;CA;0;6;A;NA;1699;24;9;0.533;11;4;B;Southern California;5;PUBLIC;1;6;8;1042;N;0.156;0;East Coast;EXISTING;45;1699;1;214;214;Middle;Middle;April;H;1;0.04318618;0.918367347;L;1
712;HD;8;8;CA;0;5;A;NA;2049;7;0;0.5;0;1;B;Northern California;5;PUBLIC;1;6;8;950;M;0.214;0;East Coast;EXISTING;14;2049;1;220;220;Middle;Middle;April;H;1;0.014736842;0.933333333;L;0
713;HD;8;8;CA;0;5;A;NA;1839;31;6;0.5;11;11;B;Southern California;5;PUBLIC;1;6;8;1021;Q;0.242;0;East Coast;EXISTING;62;1839;2;353;199;Middle;Middle;April;H;1;0.06072478;0.849315068;L;1
714;HD;8;8;CA;0;6;A;NA;2207;22;4;0.55;6;3;;Southern California;7;PUBLIC;1;;NA;;;0.225;1;East Coast;EXISTING;40;2207;1;213;213;Middle;Middle;April;H;1;NA;0.930232558;;1
715;HD;7;8;CA;0;5;A;NA;2080;10;2;0.714;2;1;B;Northern California;1;PUBLIC;1;K;8;36;Q;0;0;East Coast;NEW;14;2080;1;235;235;Middle;Middle;April;H;0;0.388888889;0.933333333;S;0
716;HC;8;8;CA;0;6;A;NA;2549;30;5;0.667;3;6;B;Southern California;5;PUBLIC;1;6;8;1027;O;0.289;0;East Coast;EXISTING;45;2549;1;198;198;Middle;Middle;April;H;1;0.043816943;0.882352941;L;1
717;HD;8;8;CA;0;6;A;NA;1850;21;13;0.539;15;3;B;Southern California;5;PUBLIC;1;7;8;650;P;0.205;0;East Coast;EXISTING;39;1850;1;211;211;Middle;Middle;April;H;1;0.06;0.928571429;M-L;1
718;HD;8;8;CA;0;7;A;FR;2365;19;3;0.432;4;3;B;Northern California;5;PUBLIC;1;6;8;453;K;0.068;1;East Coast;EXISTING;44;2365;1;219;219;Middle;Middle;April;H;1;0.097130243;0.936170213;S-M;1
719;HS;4;4;CA;0;1;A;NA;398;20;2;0.571;4;1;B;Southern California;4;PUBLIC;1;K;5;553;P;0.229;1;CA History;EXISTING;35;398;1;198;198;Elementary;Elementary;April;H;1;0.063291139;0.972222222;S-M;1
720;HD;7;8;ME;1;3;A;FR;1294;21;0;0.636;1;4;B;Other;10;PUBLIC;1;6;8;305;E;0.091;0;East Coast;EXISTING;33;1294;1;198;198;Middle;Middle;April;H;0;0.108196721;0.891891892;S;0
721;HD;12;12;MA;0;4;B;SA;699;0;0;0;3;4;;Other;10;Private non-Christian;1;PK;9;380;Q;0;0;East Coast;EXISTING;42;699;1;182;182;High;High;April;H;1;0.110526316;0.913043478;S-M;1
722;HD;8;8;MA;0;4;B;NA;885;18;3;0.474;3;4;B;Other;5;PUBLIC;1;6;8;683;O;0.053;0;East Coast;EXISTING;38;885;1;145;145;Middle;Middle;April;H;1;0.055636896;0.904761905;M-L;0
723;HD;8;8;RI;0;4;B;NA;629;18;6;0.36;12;6;B;Other;10;PUBLIC;1;5;8;950;J;0.1;0;East Coast;NEW;50;629;1;136;136;Middle;Middle;April;H;1;0.052631579;0.892857143;L;1
724;HN;NA;NA;MI;1;4;A;NA;1499;23;3;0.697;2;4;B;Other;8;PUBLIC;1;9;12;1625;Q;0.182;0;East Coast;NEW;33;1499;1;170;170;Undefined;Undefined;April;H;0;0.020307692;0.891891892;L;1
725;SK;7;8;IA;1;5;A;NA;1869;9;1;0.643;2;1;C;Other;7;PUBLIC;1;6;8;520;H;0.214;0;Science;EXISTING;14;1869;2;417;200;Middle;Middle;April;S;0;0.026923077;0.933333333;S-M;0
726;HD;8;8;CA;0;5;A;NA;2232;18;13;0.667;12;4;C;Southern California;5;PUBLIC;1;6;8;2200;Q;0.259;0;East Coast;EXISTING;27;2232;2;340;193;Middle;Middle;April;H;1;0.012272727;0.870967742;L;1
727;HD;7;8;WA;0;5;A;NA;2034;6;5;0.194;16;3;C;Pacific Northwest;10;PUBLIC;1;6;12;167;Z;0.484;0;East Coast;NEW;31;2034;1;402;402;Middle;Middle;April;H;0;0.185628743;0.911764706;S;0
728;HC;8;8;CA;0;5;A;NA;2040;26;5;0.51;7;5;C;Southern California;5;PUBLIC;1;6;8;900;O;0.059;0;East Coast;EXISTING;51;2040;1;206;206;Middle;Middle;April;H;1;0.056666667;0.910714286;L;1
729;HC;8;8;TX;0;5;A;NA;2542;25;2;0.658;3;3;;Houston;5;Catholic;1;7;12;784;A;0.158;0;East Coast;EXISTING;38;2542;1;228;228;Middle;Middle;April;H;1;0.048469388;0.926829268;M-L;1
730;SK;6;8;MD;1;5;A;FR;1890;9;0;0.474;6;2;;Other;4;CHD;1;PK;8;340;N;0.316;0;Science;NEW;19;1890;1;206;206;Middle;Middle;April;S;0;0.055882353;0.904761905;S-M;0
731;SK;8;8;WI;0;5;A;NA;1799;10;2;0.476;1;2;B;Other;6;PUBLIC;0;6;8;800;J;0.048;0;Science;EXISTING;21;1799;0;NA;NA;Middle;Middle;April;S;1;0.02625;0.913043478;M-L;1
732;SK;7;8;MA;0;5;A;NA;1921;8;1;0.615;1;2;A;Other;6;PUBLIC;1;6;8;535;Q;0.154;0;Science;NEW;13;1921;1;170;170;Middle;Middle;April;S;0;0.024299065;0.866666667;S-M;0
733;HD;8;8;VT;0;5;B;NA;811;29;2;0.617;4;4;A;Other;10;PUBLIC;1;6;8;348;O;0.234;0;East Coast;EXISTING;47;811;1;221;221;Middle;Middle;April;H;1;0.135057471;0.921568627;S-M;1
734;HC;6;8;CA;0;6;A;NA;2414;6;2;0.75;5;1;C;Northern California;5;PUBLIC;0;6;8;580;O;0.125;0;East Coast;EXISTING;8;2414;0;NA;NA;Middle;Middle;April;H;0;0.013793103;0.888888889;M-L;1
735;HD;8;8;UT;0;6;A;NA;2047;12;8;0.48;10;2;B;Other;5;PUBLIC;1;7;8;663;M;0.2;0;East Coast;EXISTING;25;2047;1;206;206;Middle;Middle;April;H;1;0.037707391;0.925925926;M-L;0
736;CD;8;8;CA;0;6;A;FR;2107;9;4;0.346;5;1;;Northern California;4;CHD;1;K;6;197;O;0.115;1;East Coast;EXISTING;26;2107;2;226;212;Middle;Middle;April;C;1;0.131979695;0.962962963;S;1
737;HD;8;8;MI;0;5;B;NA;925;21;2;0.6;5;3;B;Other;10;PUBLIC;0;8;9;830;M;0.086;0;East Coast;NEW;35;925;0;NA;NA;Middle;Middle;April;H;1;0.042168675;0.921052632;L;0
738;HD;8;8;CA;0;6;A;FR;2049;14;5;0.467;11;3;C;Southern California;10;PUBLIC;1;7;8;751;M;0.533;0;East Coast;NEW;30;2049;2;375;205;Middle;Middle;April;H;1;0.039946738;0.909090909;M-L;1
739;HC;8;8;CA;0;7;A;NA;2459;9;3;0.5;7;1;B;Northern California;10;PUBLIC;1;K;8;500;L;0.444;0;East Coast;EXISTING;18;2459;1;226;226;Middle;Middle;April;H;1;0.036;0.947368421;S-M;1
740;IC;NA;NA;CA;0;8;A;NA;2784;1;0;0.077;1;2;B;Southern California;8;PUBLIC;1;9;12;2850;N;0.539;0;International;NEW;13;2784;1;367;367;Undefined;Undefined;April;I;0;0.004561404;0.866666667;L;0
741;HC;7;8;CA;1;7;A;NA;2478;19;4;0.452;9;3;B;Northern California;5;PUBLIC;1;6;8;649;O;0.119;0;East Coast;EXISTING;42;2478;2;331;205;Middle;Middle;April;H;0;0.064714946;0.933333333;M-L;0
742;IC;NA;NA;OH;0;8;A;NA;3085;1;0;0.111;0;2;;Other;8;Catholic;1;9;12;664;B;0.667;0;International;NEW;9;3085;1;192;192;Undefined;Undefined;April;I;0;0.013554217;0.818181818;M-L;0
743;HD;8;8;IL;0;4;A;NA;1399;35;2;0.875;2;4;B;Other;8;PUBLIC;0;9;12;600;K;0.2;0;East Coast;EXISTING;40;1399;0;NA;NA;Middle;Middle;April;H;1;0.066666667;0.909090909;M-L;1
744;HD;7;8;NH;0;5;B;FR;941;21;1;0.724;6;2;B;Other;10;PUBLIC;1;6;8;986;K;0.448;0;East Coast;EXISTING;29;941;1;215;215;Middle;Middle;April;H;0;0.029411765;0.935483871;L;1
745;HC;8;8;CA;0;5;A;NA;1935;13;3;0.433;4;2;B;Southern California;5;PUBLIC;1;6;8;1038;N;0.267;0;East Coast;EXISTING;30;1935;1;213;213;Middle;Middle;April;H;1;0.028901734;0.9375;L;1
746;HD;7;8;CA;1;5;A;FR;2023;8;3;0.348;5;2;C;Northern California;5;PUBLIC;1;K;8;342;N;0.13;0;East Coast;EXISTING;23;2023;1;222;222;Middle;Middle;April;H;0;0.067251462;0.92;S-M;0
747;HD;8;8;CA;0;5;A;NA;1777;24;7;0.632;10;4;C;Southern California;10;PUBLIC;1;6;8;1700;I;0.263;0;East Coast;EXISTING;38;1777;1;206;206;Middle;Middle;April;H;1;0.022352941;0.904761905;L;1
748;HD;5;5;CA;0;5;A;NA;2048;5;3;0.556;3;1;B;Northern California;4;PUBLIC;0;K;5;592;M;0.111;0;East Coast;EXISTING;9;2048;0;NA;NA;Elementary;Elementary;April;H;1;0.015202703;0.9;M-L;1
749;HD;8;8;CA;0;5;A;NA;2042;4;1;0.571;3;1;B;Northern California;5;PUBLIC;1;K;8;250;E;0.429;0;East Coast;EXISTING;7;2042;2;214;-4;Middle;Middle;April;H;1;0.028;0.875;S;0
750;HD;8;8;CA;0;5;A;NA;2014;4;2;0.571;3;1;C;Northern California;5;PUBLIC;1;6;8;340;L;0.429;0;East Coast;NEW;7;2014;1;228;228;Middle;Middle;April;H;1;0.020588235;0.875;S-M;1
751;HD;7;8;CA;0;5;A;FR;2169;6;3;0.75;5;2;C;Northern California;5;PUBLIC;1;7;8;980;L;0;0;East Coast;EXISTING;8;2169;1;206;206;Middle;Middle;April;H;0;0.008163265;0.8;L;1
752;HD;7;8;CA;1;5;A;FR;2058;11;0;0.786;1;2;;Southern California;1;Private non-Christian;1;K;8;75;M;0.357;0;East Coast;EXISTING;14;2058;1;208;208;Middle;Middle;April;H;0;0.186666667;0.875;S;0
753;ST;6;8;MD;0;5;A;NA;1830;3;2;1;6;1;B;Other;6;PUBLIC;1;K;8;761;L;0;0;Science;NEW;3;1830;2;341;214;Middle;Middle;April;S;0;0.003942181;0.75;M-L;0
754;ST;7;11;NJ;1;5;A;NA;1755;4;2;1;2;2;B;Other;6;PUBLIC;1;6;8;550;N;0;0;Science;EXISTING;4;1755;1;202;202;Middle;High;April;S;0;0.007272727;0.666666667;S-M;0
755;ST;7;8;VA;1;5;A;NA;1713;31;3;0.861;6;3;A;Other;6;PUBLIC;1;7;12;3990;Q;0.25;0;Science;EXISTING;36;1713;1;209;209;Middle;Middle;April;S;0;0.009022556;0.923076923;L;1
756;HD;7;8;CA;0;5;A;NA;1975;6;3;0.667;5;1;;Southern California;10;Private non-Christian;1;K;12;175;M;0;0;East Coast;NEW;9;1975;1;187;187;Middle;Middle;April;H;0;0.051428571;0.9;S;0
757;HC;8;8;CA;0;5;A;NA;2472;21;6;0.429;12;6;B;Northern California;5;PUBLIC;1;6;8;852;I;0.306;0;East Coast;EXISTING;49;2472;2;216;215;Middle;Middle;April;H;1;0.057511737;0.890909091;L;1
758;HD;8;8;CA;0;5;A;NA;2335;16;1;0.696;2;2;B;Northern California;4;PUBLIC;1;K;5;460;O;0.217;0;East Coast;EXISTING;23;2335;1;221;221;Middle;Middle;April;H;1;0.05;0.92;S-M;1
759;HD;8;8;NV;0;6;A;NA;1949;37;11;0.487;19;5;B;Other;5;PUBLIC;1;6;8;667;O;0.197;0;East Coast;EXISTING;76;1949;1;230;230;Middle;Middle;April;H;1;0.113943028;0.938271605;M-L;1
760;HD;7;8;CA;1;5;A;NA;1699;4;2;0.25;9;3;C;Southern California;10;PUBLIC;1;7;8;884;N;0.063;0;East Coast;NEW;16;1699;2;355;178;Middle;Middle;April;H;0;0.018099548;0.842105263;L;0
761;HD;6;8;CA;0;6;A;NA;2334;13;0;0.867;3;2;;Northern California;10;Private non-Christian;1;PK;8;235;M;0;0;East Coast;NEW;15;2334;1;215;215;Middle;Middle;April;H;0;0.063829787;0.882352941;S;1
762;HC;7;8;CO;0;6;A;FR;2199;23;2;0.657;5;2;C;Other;10;PUBLIC;1;6;8;808;G;0.114;0;East Coast;EXISTING;35;2199;1;220;220;Middle;Middle;April;H;0;0.043316832;0.945945946;M-L;1
763;HD;8;8;CA;0;6;A;NA;2165;26;3;0.578;5;2;B;Northern California;5;PUBLIC;1;6;8;1100;Q;0.244;0;East Coast;EXISTING;45;2165;2;355;208;Middle;Middle;April;H;1;0.040909091;0.957446809;L;1
764;HD;8;8;CA;0;6;A;NA;2126;9;4;0.5;4;3;B;Southern California;5;PUBLIC;1;K;8;960;O;0.111;0;East Coast;EXISTING;18;2126;1;207;207;Middle;Middle;April;H;1;0.01875;0.857142857;L;1
765;HD;9;12;CA;0;6;A;NA;2261;3;5;0.6;6;1;;Southern California;7;CHD;1;;NA;;;0.4;0;East Coast;NEW;5;2261;2;212;184;High;High;April;H;0;NA;0.833333333;;0
766;HC;8;8;NV;0;6;A;NA;2619;43;13;0.597;14;6;B;Other;5;PUBLIC;1;6;8;1119;Z;0.375;0;East Coast;EXISTING;72;2619;2;361;214;Middle;Middle;April;H;1;0.064343164;0.923076923;L;1
767;HC;7;8;CA;0;6;A;NA;2725;9;0;0.9;1;1;C;Northern California;5;PUBLIC;1;7;8;750;I;0.1;0;East Coast;EXISTING;10;2725;1;221;221;Middle;Middle;April;H;0;0.013333333;0.909090909;M-L;0
768;SC;6;8;CA;1;7;A;NA;2569;10;2;0.769;3;1;C;Southern California;7;PUBLIC;1;6;8;2050;O;0.077;0;Costa Rica;EXISTING;13;2569;1;206;206;Middle;Middle;April;S;0;0.006341463;0.928571429;L;0
769;HC;8;8;CA;0;7;A;NA;2819;12;0;0.632;1;1;;Southern California;5;Catholic;1;K;8;574;O;0.158;0;East Coast;EXISTING;19;2819;1;207;207;Middle;Middle;April;H;1;0.033101045;0.95;S-M;1
770;SC;9;12;CA;0;7;A;NA;2569;13;2;0.722;4;2;C;Southern California;8;PUBLIC;1;9;12;3100;J;0.333;0;Costa Rica;NEW;18;2569;1;192;192;High;High;April;S;0;0.005806452;0.9;L;0
771;HD;8;9;HI;0;7;A;NA;2953;4;2;1;2;1;E;Other;5;PUBLIC;1;6;8;541;M;0.5;0;East Coast;NEW;4;2953;1;202;202;Middle;High;April;H;0;0.007393715;0.8;S-M;1
772;HS;4;4;CA;1;2;A;NA;585;18;2;0.474;6;2;B;Southern California;4;PUBLIC;1;K;5;720;M;0.132;0;CA History;NEW;38;585;1;356;356;Elementary;Elementary;April;H;1;0.052777778;0.95;M-L;0
773;HX;9;12;CA;0;2;A;NA;704;9;0;0.529;2;2;;Southern California;11;Private non-Christian;0;K;12;180;H;0.059;1;CA History;EXISTING;17;704;0;NA;NA;High;High;April;H;0;0.094444444;0.894736842;S;0
774;HD;7;8;MA;1;4;B;NA;635;10;1;0.313;1;3;;Other;1;Catholic;1;PK;8;158;J;0.313;0;East Coast;EXISTING;32;635;1;223;223;Middle;Middle;April;H;0;0.202531646;0.914285714;S;0
775;HD;7;9;AL;0;4;A;NA;1469;5;5;0.625;9;1;B;Other;10;PUBLIC;0;7;8;574;H;0;0;East Coast;NEW;8;1469;0;NA;NA;Middle;High;April;H;0;0.013937282;0.888888889;S-M;0
776;HD;7;8;IL;1;3;A;NA;1265;21;3;0.84;4;3;A;Other;10;PUBLIC;1;4;8;525;M;0.16;0;East Coast;EXISTING;25;1265;1;214;214;Middle;Middle;April;H;0;0.047619048;0.892857143;S-M;0
777;HD;6;8;MA;0;3;B;NA;729;10;16;0.526;18;2;C;Other;10;PUBLIC;1;6;8;960;C;0.263;0;East Coast;NEW;19;729;2;335;202;Middle;Middle;April;H;0;0.019791667;0.904761905;L;1
778;HD;8;8;IL;0;4;A;FR;1298;55;5;0.764;6;6;;Other;5;Catholic;1;PK;8;720;P;0.375;0;East Coast;EXISTING;72;1298;1;230;230;Middle;Middle;April;H;1;0.1;0.923076923;M-L;1
779;HC;8;8;CA;0;5;A;NA;2283;8;2;0.615;4;1;B;Northern California;5;PUBLIC;1;6;8;985;Q;0.231;0;East Coast;EXISTING;13;2283;1;207;207;Middle;Middle;April;H;1;0.01319797;0.928571429;L;1
780;HD;8;8;CA;0;5;A;FR;1999;33;3;0.66;5;3;B;Southern California;5;PUBLIC;1;6;8;1141;P;0.18;0;East Coast;EXISTING;50;1999;1;184;184;Middle;Middle;April;H;1;0.043821209;0.943396226;L;1
781;HD;8;8;CA;0;5;A;NA;2028;7;2;0.778;1;1;C;Southern California;8;PUBLIC;1;9;12;440;N;0.111;0;East Coast;EXISTING;9;2028;2;207;168;Middle;Middle;April;H;1;0.020454545;0.9;S-M;0
782;SK;6;8;MD;1;5;A;NA;1857;20;1;0.769;3;2;B;Other;6;PUBLIC;0;6;8;827;N;0.346;0;Science;NEW;26;1857;0;NA;NA;Middle;Middle;April;S;0;0.031438936;0.928571429;L;0
783;HD;7;8;CO;0;5;A;FR;1689;17;0;0.654;0;3;B;Other;10;PUBLIC;0;K;8;133;P;0.192;0;East Coast;NEW;26;1689;0;NA;NA;Middle;Middle;April;H;0;0.195488722;0.896551724;S;0
784;HC;8;8;NH;0;5;B;FR;1026;23;0;0.639;1;7;A;Other;10;PUBLIC;1;K;8;445;N;0.25;1;East Coast;EXISTING;36;1026;1;207;207;Middle;Middle;April;H;1;0.080898876;0.837209302;S-M;1
785;HD;8;8;CA;0;5;A;NA;1965;13;1;0.448;1;2;B;Southern California;5;PUBLIC;1;6;8;850;P;0.379;0;East Coast;EXISTING;29;1965;1;208;208;Middle;Middle;April;H;1;0.034117647;0.935483871;L;1
786;SK;7;8;CA;1;5;A;NA;1855;14;2;0.56;2;2;B;Southern California;6;PUBLIC;1;6;8;525;P;0.28;0;Science;EXISTING;25;1855;2;307;200;Middle;Middle;April;S;0;0.047619048;0.925925926;S-M;1
787;HD;6;8;CA;0;5;A;NA;1892;5;1;0.417;4;1;B;Southern California;10;PUBLIC;1;6;8;961;M;0.25;0;East Coast;EXISTING;12;1892;1;193;193;Middle;Middle;April;H;0;0.012486993;0.923076923;L;1
788;HD;8;8;CA;0;5;A;NA;1997;6;1;0.546;1;1;B;Southern California;5;PUBLIC;1;6;8;700;M;0.273;0;East Coast;EXISTING;11;1997;2;327;201;Middle;Middle;April;H;1;0.015714286;0.916666667;M-L;1
789;HD;9;12;CA;0;5;A;NA;2129;1;0;0.083;0;2;;Northern California;10;Private non-Christian;1;6;12;105;P;0;0;East Coast;EXISTING;12;2129;1;234;234;High;High;April;H;0;0.114285714;0.857142857;S;0
790;HC;8;8;CA;0;5;A;NA;2352;7;2;0.539;3;1;B;Northern California;5;PUBLIC;1;6;8;927;L;0.154;0;East Coast;EXISTING;13;2352;1;216;216;Middle;Middle;April;H;1;0.014023732;0.928571429;L;1
791;HD;8;8;MT;0;5;A;NA;2101;11;3;0.733;4;1;;Other;1;PUBLIC;1;6;8;;F;0.267;0;East Coast;EXISTING;15;2101;1;354;354;Middle;Middle;April;H;1;NA;0.9375;;1
792;HD;8;8;MI;1;5;B;FR;812;15;4;0.278;10;5;B;Other;10;PUBLIC;1;6;8;245;I;0.019;0;East Coast;NEW;54;812;1;207;207;Middle;Middle;April;H;1;0.220408163;0.915254237;S;0
793;SK;6;8;MA;0;5;A;NA;1934;9;1;0.692;2;2;A;Other;6;PUBLIC;1;6;8;699;P;0.385;0;Science;EXISTING;13;1934;2;321;209;Middle;Middle;April;S;0;0.018597997;0.866666667;M-L;1
794;HD;7;8;GA;0;5;B;NA;699;6;4;0.375;6;2;C;Other;2;PUBLIC;1;6;8;593;A;0;0;East Coast;NEW;16;699;2;326;216;Middle;Middle;April;H;0;0.02698145;0.888888889;M-L;0
795;HD;8;8;CA;0;5;A;NA;2019;3;3;0.3;4;1;C;Northern California;5;PUBLIC;1;6;8;707;O;0.1;0;East Coast;EXISTING;10;2019;2;326;208;Middle;Middle;April;H;1;0.014144272;0.909090909;M-L;1
796;HC;7;8;CA;0;5;A;NA;2299;15;0;0.652;2;3;B;Southern California;5;PUBLIC;1;6;8;1250;P;0.174;0;East Coast;EXISTING;23;2299;1;173;173;Middle;Middle;April;H;0;0.0184;0.884615385;L;0
797;HC;7;8;CA;0;5;A;NA;2305;5;1;0.714;3;1;;Southern California;10;CHD;1;PK;8;100;K;0.143;0;East Coast;NEW;7;2305;2;326;235;Middle;Middle;April;H;0;0.07;0.875;S;0
798;HD;7;7;AZ;0;5;A;CP;1913;35;5;0.547;3;6;;Other;5;Private non-Christian;1;PK;8;620;P;0.203;0;East Coast;EXISTING;64;1913;1;201;201;Middle;Middle;April;H;1;0.103225806;0.914285714;M-L;1
799;HD;8;8;CA;0;5;A;NA;2066;13;4;0.813;4;1;C;Northern California;5;PUBLIC;1;PK;8;700;L;0.125;0;East Coast;NEW;16;2066;1;223;223;Middle;Middle;April;H;1;0.022857143;0.941176471;M-L;1
800;HD;8;8;CA;0;5;A;NA;1949;12;13;0.462;17;3;C;Southern California;5;PUBLIC;1;6;7;445;M;0.039;0;East Coast;NEW;26;1949;1;215;215;Middle;Middle;April;H;1;0.058426966;0.896551724;S-M;1
801;HD;8;8;CA;0;5;A;NA;2140;10;3;0.667;6;1;B;Northern California;5;PUBLIC;1;6;8;360;H;0;0;East Coast;NEW;15;2140;2;363;230;Middle;Middle;April;H;1;0.041666667;0.9375;S-M;1
802;HD;8;8;CA;0;5;A;NA;1997;7;2;0.778;7;1;B;Southern California;5;PUBLIC;0;6;8;700;M;0.333;0;East Coast;NEW;9;1997;0;NA;NA;Middle;Middle;April;H;1;0.012857143;0.9;M-L;1
803;HO;8;12;TX;1;5;A;NA;2499;8;0;0.8;0;2;;Dallas;1;Private non-Christian;0;8;12;60;M;0;0;East Coast;EXISTING;10;2499;0;NA;NA;Middle;High;April;H;0;0.166666667;0.833333333;S;0
804;SK;6;6;CA;0;5;A;NA;1855;13;0;0.929;2;1;B;Southern California;6;PUBLIC;1;K;6;558;Q;0.214;0;Science;EXISTING;14;1855;1;201;201;Middle;Middle;April;S;1;0.025089606;0.933333333;S-M;0
805;HD;8;8;CO;1;5;A;NA;1574;18;0;0.546;0;3;B;Other;10;PUBLIC;0;K;8;539;O;0.303;1;East Coast;EXISTING;33;1574;0;NA;NA;Middle;Middle;April;H;1;0.06122449;0.916666667;S-M;0
806;HD;8;8;CA;0;5;A;NA;1550;25;5;0.568;11;4;B;Southern California;5;PUBLIC;1;7;8;540;Q;0.136;0;East Coast;EXISTING;44;1550;1;193;193;Middle;Middle;April;H;1;0.081481481;0.916666667;S-M;1
807;SK;7;12;VA;0;5;A;NA;1699;5;1;0.5;5;1;;Other;7;CHD;1;PK;12;160;Q;0.2;0;Science;NEW;10;1699;1;188;188;Middle;High;April;S;0;0.0625;0.909090909;S;0
808;HD;6;8;WA;1;6;A;NA;2195;1;1;0.046;2;3;C;Pacific Northwest;10;PUBLIC;1;7;12;283;F;0.136;0;East Coast;EXISTING;22;2195;1;222;222;Middle;Middle;April;H;0;0.077738516;0.88;S;0
809;SC;9;12;NC;0;7;A;NA;2562;14;4;0.737;4;4;C;Other;8;PUBLIC;1;9;12;1000;E;0.211;0;Costa Rica;NEW;19;2562;1;342;342;High;High;April;S;0;0.019;0.826086957;L;0
810;HO;7;8;ME;0;2;B;FR;399;8;0;0.276;0;2;C;Other;10;PUBLIC;1;PK;6;350;C;0.069;0;East Coast;EXISTING;29;399;1;182;182;Middle;Middle;April;H;0;0.082857143;0.935483871;S-M;1
811;HS;4;4;CA;0;2;A;NA;587;6;0;0.171;1;1;;Southern California;5;CHD;1;PK;8;327;P;0.029;1;CA History;EXISTING;35;587;1;215;215;Elementary;Elementary;April;H;1;0.107033639;0.972222222;S;1
812;HS;4;4;CA;0;2;A;NA;587;6;2;0.171;4;1;;Southern California;5;CHD;1;PK;8;327;P;0.143;1;CA History;EXISTING;35;587;1;215;215;Elementary;Elementary;April;H;1;0.107033639;0.972222222;S;1
813;HD;8;8;ME;0;3;A;NA;919;14;2;0.737;3;2;B;Other;5;PUBLIC;0;6;8;600;M;0.474;0;East Coast;EXISTING;19;919;0;NA;NA;Middle;Middle;April;H;1;0.031666667;0.904761905;M-L;0
814;HG;3;3;CA;0;3;A;NA;764;18;0;0.261;2;2;;Southern California;5;Private non-Christian;0;K;8;220;P;0.029;1;CA History;EXISTING;69;764;0;NA;NA;Elementary;Elementary;April;H;1;0.313636364;0.971830986;S;1
815;HD;6;8;CT;0;3;B;NA;695;11;4;0.333;13;3;D;Other;2;PUBLIC;1;5;8;200;F;0.03;0;East Coast;NEW;33;695;1;180;180;Middle;Middle;April;H;0;0.165;0.916666667;S;0
816;HD;8;NA;IL;0;4;A;NA;1392;7;0;0.7;0;2;B;Other;5;CHD;0;K;8;;P;0;0;East Coast;EXISTING;10;1392;0;NA;NA;Middle;Undefined;April;H;0;NA;0.833333333;;0
817;HD;8;8;IL;0;4;A;NA;1099;11;3;0.647;3;1;C;Other;10;PUBLIC;1;PK;8;926;L;0.059;0;East Coast;NEW;17;1099;2;335;209;Middle;Middle;April;H;1;0.018358531;0.944444444;L;1
